Date;USD/TL Exchange Rate
2014-01;2,22
2014-02;2,22
2014-03;2,22
2014-04;2,13
2014-05;2,09
2014-06;2,12
2014-07;2,12
2014-08;2,16
2014-09;2,21
2014-10;2,26
2014-11;2,24
2014-12;2,29
2015-01;2,33
2015-02;2,46
2015-03;2,59
2015-04;2,65
2015-05;2,65
2015-06;2,71
2015-07;2,7
2015-08;2,85
2015-09;3,01
2015-10;2,93
2015-11;2,88
2015-12;2,92
2016-01;3,01
2016-02;2,95
2016-03;2,9
2016-04;2,84
2016-05;2,93
2016-06;2,92
2016-07;2,96
2016-08;2,97
2016-09;2,97
2016-10;3,07
2016-11;3,27
2016-12;3,5
2017-01;3,74
2017-02;3,68
2017-03;3,67
2017-04;3,66
2017-05;3,57
2017-06;3,53
2017-07;3,57
2017-08;3,52
2017-09;3,47
2017-10;3,67
2017-11;3,89
2017-12;3,85
2018-01;3,78
2018-02;3,78
2018-03;3,89
2018-04;4,06
2018-05;4,42
2018-06;4,64
2018-07;4,76
2018-08;5,74
2018-09;6,38
2018-10;5,87
2018-11;5,38
2018-12;5,32
2019-01;5,38
2019-02;5,27
2019-03;5,45
2019-04;5,75
2019-05;6,06
2019-06;5,82
2019-07;5,68
2019-08;5,63
2019-09;5,72
2019-10;5,79
2019-11;5,74
2019-12;5,85
2020-01;5,93
2020-02;6,06
2020-03;6,33
2020-04;6,83
2020-05;6,96
2020-06;6,82
2020-07;6,86
2020-08;7,27
2020-09;7,52
2020-10;7,89
2020-11;8,02
2020-12;7,73
2021-01;7,41
2021-02;7,09
2021-03;7,64
2021-04;8,17
2021-05;8,36
2021-06;8,61
2021-07;8,63
2021-08;8,49
2021-09;8,53
2021-10;9,16
2021-11;10,54
2021-12;13,55
2022-01;13,54
2022-02;13,65
2022-03;14,59
2022-04;14,71
2022-05;15,65
2022-06;17
2022-07;17,42
2022-08;18,03
2022-09;18,31
2022-10;18,6
2022-11;18,62
2022-12;18,67
2023-01;18,79
2023-02;18,86
2023-03;19
2023-04;19,34
2023-05;19,72
2023-06;23,11
2023-07;26,47
2023-08;27
2023-09;26,99
2023-10;27,85
2023-11;28,64
2023-12;29,07
2024-01;30,05
2024-02;30,76
2024-03;31,99
2024-04;32,33
2024-05;32,25
2024-06;32,52
2024-07;32,89
2024-08;33,62
2024-09;34,03
2024-10;34,23
2024-11;34,43
