Name;unemployment
Adana;14,0
Adıyaman;12,2
Afyonkarahisar;8,0
Ağrı;14,6
Aksaray;7,3
Amasya;8,9
Ankara;11,2
Antalya;7,4
Ardahan;5,8
Artvin;10,3
Aydın;10,1
Balıkesir;5,8
Bartın;8,1
Batman;12,9
Bayburt;6,7
Bilecik;7,2
Bingöl;7,9
Bitlis;11,7
Bolu;8,5
Burdur;5,1
Bursa;8,3
Çanakkale;6,6
Çankırı;5,2
Çorum;8,1
Denizli;8,1
Diyarbakır;11,9
Düzce;9,4
Edirne;7,5
Elazığ;7,9
Erzincan;7,5
Erzurum;7,3
Eskişehir;8,0
Gaziantep;9,6
Giresun;8,5
Gümüşhane;14,1
Hakkâri;23,3
Hatay;15,6
Iğdır;14,0
Isparta;7,4
Istanbul;8,9
Izmir;11,4
Kahramanmaraş;14,6
Karabük;11,8
Karaman;6,9
Kars;7,7
Kastamonu;4,9
Kayseri;9,5
Kırıkkale;11,8
Kırklareli;8,7
Kırşehir;10,7
Kilis;10,7
Kocaeli;9,1
Konya;6,0
Kütahya;7,3
Malatya;6,4
Manisa;6,3
Mardin;10,5
Mersin;7,1
Muğla;6,1
Muş;12,1
Nevşehir;5,5
Niğde;9,3
Ordu;7,7
Osmaniye;16,7
Rize;8,7
Sakarya;8,3
Samsun;9,4
Siirt;8,0
Sinop;4,8
Sivas;10,3
Şanlıurfa;9,9
Şırnak;13,1
Tekirdağ;7,3
Tokat;6,9
Trabzon;7,7
Tunceli;7,0
Uşak;8,6
Van;19,1
Yalova;10,7
Yozgat;6,7
Zonguldak;11,0
;
;
;
;
;
;
;
;
;
